# Model Dimensions
## syr, nyr, agek, narea
	1974, 2012, 6, 8

# Growth parameters
## alpha, rho
	5.7557	0.9474

# Regulatory area in square nautical miles from 0-400 fathoms
14132  29601  14580  49178  29584  19889  19711 148713

# Total removals (million lb) from all fisheries (incl. wastage)
##  Year	2A		2B		2C		3A		3B		4A		4B		4CDE
	1974	1.00	6.43	6.17	13.50	5.10	2.55	1.67	4.11
	1975	0.94	9.18	6.93	13.85	4.65	1.31	0.86	2.11
	1976	0.72	9.51	6.28	14.64	5.20	1.62	1.06	2.61
	1977	0.70	7.39	3.87	13.02	5.12	1.27	0.83	2.04
	1978	0.59	6.20	4.82	13.75	3.17	1.95	1.28	3.15
	1979	0.54	6.84	5.56	17.62	1.33	2.08	1.36	3.35
	1980	0.52	7.16	4.12	18.44	1.53	3.04	1.99	4.91
	1981	0.70	7.01	4.87	19.85	2.02	2.33	1.53	3.76
	1982	0.74	6.60	4.33	18.16	7.04	1.90	1.24	3.07
	1983	0.81	6.63	7.30	18.15	9.80	2.67	1.75	4.31
	1984	1.03	10.55	6.86	23.10	8.30	2.41	1.58	3.90
	1985	1.17	12.32	10.51	24.17	11.85	2.66	1.74	4.29
	1986	1.40	13.25	12.21	37.74	9.78	3.53	2.31	5.70
	1987	1.52	14.83	12.28	37.49	9.11	3.97	2.60	6.41
	1988	1.22	15.27	13.11	46.55	7.39	4.19	2.74	6.77
	1989	1.29	12.69	11.73	41.97	9.01	3.80	2.49	6.13
	1990	0.95	11.06	12.39	38.19	11.13 	4.67	2.34	7.33
	1991	0.94	9.76	12.28	34.44	14.44 	4.87	2.69	9.11
	1992	1.15	9.98	12.81	37.05	11.10 	5.35	3.56	8.85
	1993	1.22	13.23	14.35	33.44	9.24 	4.52	2.87	6.99
	1994	1.01	12.02	13.44	34.97	5.46 	4.12	3.12	7.92
	1995	1.17	12.56	10.02	26.32	5.00 	3.74	2.66	7.28
	1996	1.16	11.25	11.50	27.77	5.76 	3.81	3.05	7.22
	1997	1.41	14.11	12.66	33.71	10.79 	4.88	4.24	7.82
	1998	1.94	14.90	13.42	33.76	12.86 	5.39	3.79	8.01
	1999	1.80	14.37	12.74	33.11	15.98 	6.36	4.48	9.17
	2000	1.68	12.63	11.43	28.00	17.39 	7.08	5.57	9.11
	2001	1.99	12.06	11.02	29.82	18.52 	6.84	5.32	8.88
	2002	1.92	14.20	11.38	30.26	19.83 	6.97	4.93	8.51
	2003	1.52	13.89	11.83	32.24	19.62 	6.78	4.66	7.90
	2004	1.69	14.71	14.47	35.54	17.39 	5.31	3.49	7.48
	2005	1.88	15.24	14.65	36.17	14.94 	5.38	2.84	8.70
